customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount,clt_categories,predicted_income,final_income
2763.519279,56274,69,32,5,0,1,384.811147,Very Low,31385.0,56274.0
6979.535903,0,94,13,42,0,8,1131.464935,Very Low,11885.0,11885.0
12887.43165,48767,108,18,38,0,2,566.472247,Very Low,25860.0,48767.0
7645.861827,0,106,18,65,0,7,529.881344,Very Low,62902.0,62902.0
2813.692575,43836,73,12,44,0,1,138.130879,Very Low,55350.0,43836.0
8256.2978,62902,69,14,94,0,2,159.383042,Very Low,14072.0,62902.0
5380.898636,55350,67,0,13,0,9,321.6,Very Low,28095.0,55350.0
7216.100311,0,101,0,68,0,4,363.02968,Very Low,21450.0,21450.0
24127.50402,14072,71,13,3,0,2,511.2,Low,99845.0,14072.0
7388.178085,28812,93,17,7,0,8,425.527834,Very Low,44712.0,28812.0
4738.992022,0,67,23,5,0,3,482.4,Very Low,24599.0,24599.0
8197.197078,0,110,27,87,0,3,528.0,Very Low,25049.0,25049.0
8798.797003,77026,110,9,82,2,3,472.029737,Very Low,28855.0,77026.0
8819.018934,99845,110,23,25,1,8,528.0,Very Low,48345.0,99845.0
5384.431665,83689,70,21,10,2,8,307.139132,Very Low,48893.0,83689.0
7463.139377,24599,64,12,50,1,2,42.920271,Very Low,26441.0,24599.0
2566.867823,25049,67,14,7,0,1,454.245098,Very Low,13789.0,25049.0
3945.241604,28855,101,12,59,0,1,647.442031,Very Low,14072.0,28855.0
5710.333115,51148,72,9,1,0,7,308.981664,Very Low,10860.0,51148.0
8162.617053,66140,101,11,21,0,3,484.8,Very Low,25398.0,66140.0
2872.051273,57749,74,31,21,0,1,355.2,Very Low,10511.0,57749.0
3041.791561,13789,79,8,49,0,1,379.2,Very Low,16969.0,13789.0
24127.50402,14072,71,13,3,0,2,511.2,Low,73137.0,14072.0
2450.190996,0,73,4,44,3,1,554.376763,Very Low,23158.0,23158.0
2392.10789,17870,61,30,91,0,1,439.2,Very Low,35322.0,17870.0
5802.065978,97541,72,22,1,0,3,389.185006,Very Low,30376.0,97541.0
3946.372085,0,111,15,47,0,1,799.2,Very Low,22627.0,22627.0
5346.916576,10511,139,33,64,0,1,516.237951,Very Low,36510.0,10511.0
12902.56014,86584,111,33,54,2,2,532.8,Very Low,37695.0,86584.0
3235.360468,75690,80,17,44,1,1,384.0,Very Low,21726.0,75690.0
2454.58354,23158,63,4,6,1,1,322.294043,Very Low,53243.0,23158.0
18975.45611,65999,237,1,14,0,6,615.927769,Low,50071.0,65999.0
4715.321344,0,65,19,56,0,3,308.15089,Very Low,60021.0,60021.0
5018.885233,54500,63,28,17,0,6,302.4,Very Low,43244.0,54500.0
4932.916345,37260,62,19,42,0,8,15.437681,Very Low,43860.0,37260.0
5744.229745,68987,71,11,40,0,6,204.475147,Very Low,10105.0,68987.0
13891.73567,42305,117,10,62,0,2,561.6,Very Low,23218.0,42305.0
7380.976717,65706,91,19,86,0,8,436.8,Very Low,24804.0,65706.0
3090.034104,0,90,7,79,0,1,648.0,Very Low,33190.0,33190.0
2521.633095,53243,66,4,15,2,1,157.397849,Very Low,36014.0,53243.0
2652.061785,0,70,7,1,1,1,484.318536,Very Low,21366.0,21366.0
2771.045031,50071,71,3,32,0,1,18.918935,Very Low,11811.0,50071.0
3939.00637,60021,99,12,28,0,1,882.871945,Very Low,46623.0,60021.0
12231.87968,43244,103,15,16,0,2,494.4,Very Low,19508.0,43244.0
2443.665166,92834,61,15,56,0,1,292.8,Very Low,16969.0,92834.0
12819.10289,10105,172,5,4,3,3,0.517753,Very Low,11621.0,10105.0
4468.510542,0,73,7,57,3,5,579.165954,Very Low,17622.0,17622.0
5514.344018,23218,71,7,10,0,4,447.79344,Very Low,11489.0,23218.0
3343.875326,0,92,11,77,0,1,529.624084,Very Low,54586.0,54586.0
2294.478927,0,62,11,56,0,1,313.023175,Very Low,17576.0,17576.0
36707.42639,24804,104,1,28,0,2,593.830288,Moderate,21829.0,24804.0
33473.34946,33190,106,18,95,0,2,508.8,Low,30658.0,33190.0
7983.431709,36014,69,4,40,3,2,173.956072,Very Low,88340.0,36014.0
4854.745666,29834,64,19,44,0,3,307.2,Very Low,28613.0,29834.0
4293.997319,16701,113,20,26,0,1,831.625979,Very Low,65186.0,16701.0
7164.395543,46623,91,1,53,0,3,436.8,Very Low,26840.0,46623.0
7619.5158,64749,64,24,59,0,2,302.56519,Very Low,75644.0,64749.0
3958.002823,0,101,29,12,0,1,484.8,Very Low,20072.0,20072.0
4499.493252,16969,124,34,47,2,1,704.768111,Very Low,39293.0,16969.0
4059.567414,11621,108,4,98,0,1,518.4,Very Low,20961.0,11621.0
4458.113369,17622,65,1,36,1,3,312.0,Very Low,21450.0,17622.0
8110.333139,11489,105,4,50,0,6,504.0,Very Low,48367.0,11489.0
3339.764873,0,94,20,53,0,1,863.327324,Very Low,51066.0,51066.0
24261.01777,66525,100,0,86,0,2,104.331355,Low,28855.0,66525.0
6613.973653,0,63,21,28,0,2,676.391482,Very Low,43072.0,43072.0
2930.693543,33663,73,29,71,0,1,350.4,Very Low,13088.0,33663.0
8672.194272,22547,112,7,60,0,3,537.6,Very Low,36765.0,22547.0
11638.66926,61486,97,5,65,0,2,465.258644,Very Low,23091.0,61486.0
6846.150323,0,95,13,20,0,5,456.0,Very Low,25925.0,25925.0
11727.77648,29879,102,17,0,0,2,500.254235,Very Low,30027.0,29879.0
22643.83478,93011,113,17,12,0,2,281.451042,Low,20396.0,93011.0
2614.474305,65186,65,29,27,0,1,5.434505,Very Low,21513.0,65186.0
2451.752695,26840,64,1,47,2,1,307.2,Very Low,72540.0,26840.0
6781.270203,0,104,30,3,1,5,982.399613,Very Low,50450.0,50450.0
4974.801539,75644,65,5,68,3,9,467.803638,Very Low,52822.0,75644.0
8591.604933,38984,73,27,38,0,2,350.4,Very Low,20053.0,38984.0
5592.161392,71811,71,17,48,0,6,29.03416,Very Low,17780.0,71811.0
8009.472833,20961,67,20,33,0,2,321.6,Very Low,18107.0,20961.0
11318.08982,38923,99,6,83,2,2,115.728852,Very Low,48207.0,38923.0
58166.55351,61321,186,0,30,1,2,427.63121,High,25915.0,61321.0
8025.229358,0,77,20,26,0,2,25.807685,Very Low,25746.0,25746.0
5780.182197,51066,74,23,0,0,8,787.993313,Very Low,60475.0,51066.0
4118.539113,34378,102,12,54,0,1,489.6,Very Low,30092.0,34378.0
2523.07015,43072,63,35,15,0,1,302.4,Very Low,23541.0,43072.0
6554.216396,25222,90,28,69,0,3,475.623251,Very Low,36088.0,25222.0
7703.397294,36765,66,15,32,1,2,320.849072,Very Low,41408.0,36765.0
5926.729379,23091,96,28,90,5,5,460.8,Very Low,36464.0,23091.0
2683.470677,48269,69,3,79,3,1,282.151207,Very Low,35257.0,48269.0
2695.182419,32720,67,13,12,0,1,321.6,Very Low,27804.0,32720.0
6047.02516,20396,76,15,60,1,4,364.8,Very Low,34244.0,20396.0
13171.01282,21513,119,21,81,1,2,679.827592,Very Low,37282.0,21513.0
10656.88195,72540,88,7,3,0,2,631.743039,Very Low,20993.0,72540.0
2527.653796,80744,63,24,84,0,1,11.879037,Very Low,30092.0,80744.0
2672.095756,52822,67,23,88,0,1,350.529033,Very Low,60060.0,52822.0
5313.294035,0,77,8,10,1,9,863.3947,Very Low,64640.0,64640.0
20946.19251,69738,74,2,26,1,2,492.127532,Low,46833.0,69738.0
8375.353929,17780,109,12,18,0,9,132.588288,Very Low,57240.0,17780.0
4801.661503,18107,62,29,11,0,8,297.6,Very Low,28262.0,18107.0
5745.94334,57740,74,30,87,3,9,269.905129,Very Low,33555.0,57740.0
6066.115969,32627,76,11,60,0,7,380.036697,Very Low,26900.0,32627.0
8002.308333,0,107,3,65,0,3,513.6,Very Low,15514.0,15514.0
2393.915369,0,70,24,10,0,1,425.266308,Very Low,21880.0,21880.0
4762.8179,65795,62,2,85,1,3,49.011099,Very Low,25251.0,65795.0
4330.38602,60475,107,9,18,0,1,513.6,Very Low,69379.0,60475.0
9402.729769,0,130,28,88,0,4,936.0,Very Low,27972.0,27972.0
6966.694527,41837,88,29,93,0,9,142.062768,Very Low,28406.0,41837.0
7694.064293,32303,65,13,34,0,2,45.152521,Very Low,24711.0,32303.0
8717.561149,0,117,5,89,1,3,561.6,Very Low,20290.0,20290.0
5928.748528,40531,74,17,32,0,9,30.567357,Very Low,60433.0,40531.0
2452.977288,79898,62,5,86,1,1,271.606799,Very Low,29484.0,79898.0
6701.571657,56398,85,4,18,0,7,408.0,Very Low,39722.0,56398.0
7556.24034,35257,98,16,2,1,8,470.4,Very Low,36060.0,35257.0
8492.6988,27804,109,19,54,0,7,784.8,Very Low,62375.0,27804.0
7713.494046,45506,66,16,32,2,2,316.8,Very Low,18768.0,45506.0
24084.5352,65196,67,0,54,0,2,396.082036,Low,25075.0,65196.0
7290.069769,0,102,11,70,1,3,489.6,Very Low,24495.0,24495.0
4772.943848,20993,133,35,90,0,1,638.4,Very Low,95697.0,20993.0
6806.491395,37839,86,35,77,0,9,465.633954,Very Low,26372.0,37839.0
2469.781334,92711,62,24,10,0,1,368.400146,Very Low,17514.0,92711.0
3103.923041,74665,78,10,90,2,1,236.902001,Very Low,64987.0,74665.0
2981.875575,0,83,26,89,0,1,582.679087,Very Low,25772.0,25772.0
8902.737595,46833,112,6,3,0,9,64.109663,Very Low,51814.0,46833.0
5499.447223,88768,68,17,77,0,7,326.4,Very Low,24028.0,88768.0
15023.59858,28262,192,9,77,0,3,921.6,Very Low,28142.0,28262.0
2509.107875,33555,63,17,11,0,1,101.89645,Very Low,25141.0,33555.0
31221.7481,42780,113,10,27,1,2,542.4,Low,33488.0,42780.0
3133.503432,58850,78,20,26,0,1,143.747794,Very Low,24910.0,58850.0
3837.451863,21880,97,29,37,0,1,424.077159,Very Low,21876.0,21880.0
11790.49617,25251,66,13,43,0,2,316.8,Very Low,58317.0,25251.0
7838.068321,0,69,9,12,0,2,2.704934,Very Low,27501.0,27501.0
4305.808345,24188,109,14,82,0,1,523.2,Very Low,15897.0,24188.0
5973.976904,41611,74,14,8,0,8,113.801497,Very Low,25141.0,41611.0
5670.442396,28406,72,16,35,1,4,192.87572,Very Low,51066.0,28406.0
4731.749346,69833,118,32,99,0,1,828.662719,Very Low,28358.0,69833.0
